pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,order_count,avg_trip_miles,avg_trip_time_min,avg_base_passenger_fare,avg_fare_per_mile,avg_driver_pay,avg_driver_pay_per_minute,avg_response_time_min
Central Harlem North,Marble Hill,Manhattan,Manhattan,2,4.55,17.125,22.475,5.078542356935412,16.895,0.9946604534268809,4.416666666666666
Central Harlem North,Meatpacking/West Village West,Manhattan,Manhattan,2,7.4399999999999995,25.78333333333333,29.03,3.926904160213038,27.095,1.0458832955586899,7.574999999999999
Central Harlem North,Melrose South,Manhattan,Bronx,8,1.9315,12.35625,14.46,7.638020697560225,11.685,0.8905902353842358,5.288888888888889
Central Harlem North,Midtown Center,Manhattan,Manhattan,2,6.4,26.166666666666664,44.09,6.727429320351995,30.415,1.1881501462067472,2.9833333333333334
Central Harlem North,Midtown East,Manhattan,Manhattan,1,5.261,14.3,18.2,3.4594183615282263,16.15,1.1293706293706292,
Central Harlem North,Midtown South,Manhattan,Manhattan,3,7.789000000000001,28.605555555555554,40.839999999999996,5.159962881926651,32.45333333333333,1.1234027648134701,1.1333333333333333
Central Harlem North,Morningside Heights,Manhattan,Manhattan,13,1.7605384615384616,10.616666666666667,13.198461538461537,7.8134717323662946,9.447692307692307,0.9015619509211079,3.0611111111111113
Central Harlem North,Morrisania/Melrose,Manhattan,Bronx,5,3.0186,13.773333333333335,16.078,6.336198241384497,12.41,0.8940503282414104,3.8944444444444444
Central Harlem North,Mott Haven/Port Morris,Manhattan,Bronx,16,1.97125,12.6375,14.395,7.558096810210048,10.78125,0.8846785504578766,4.584722222222222
Central Harlem North,Norwood,Manhattan,Bronx,4,8.5985,21.391666666666666,26.5125,3.097658614221446,26.122500000000002,1.2577404454942802,7.1944444444444455
Central Harlem North,Old Astoria,Manhattan,Queens,1,4.855,11.783333333333333,19.53,4.022657054582904,15.42,1.3086280056577086,
Central Harlem North,Outside of NYC,Manhattan,,13,16.23853846153846,31.76794871794872,63.25230769230769,3.9002366150692747,47.62846153846154,1.477994646025935,5.224242424242424
Central Harlem North,Park Slope,Manhattan,Brooklyn,1,16.56,48.56666666666667,39.51,2.3858695652173916,44.18,0.9096774193548386,5.733333333333333
Central Harlem North,Pelham Parkway,Manhattan,Bronx,1,7.97,20.65,25.27,3.1706398996235885,28.82,1.3956416464891042,6.083333333333333
Central Harlem North,Penn Station/Madison Sq West,Manhattan,Manhattan,4,7.37025,23.920833333333334,28.9375,3.958357038068381,25.285,1.0707168250033887,4.7
Central Harlem North,Prospect-Lefferts Gardens,Manhattan,Brooklyn,3,16.64,53.705555555555556,46.576666666666675,2.870624784375936,47.75666666666667,0.8925135943815007,5.311111111111111
Central Harlem North,Queensbridge/Ravenswood,Manhattan,Queens,2,6.654999999999999,17.575,25.25,3.9048164177020803,19.71,1.1180879036963929,5.541666666666666
Central Harlem North,Richmond Hill,Manhattan,Queens,1,14.03,45.983333333333334,24.6,1.753385602280827,45.89,0.9979702790866256,3.8833333333333333
Central Harlem North,Rosedale,Manhattan,Queens,1,21.96,64.81666666666666,69.85,3.1807832422586517,72.91,1.1248650038570327,24.783333333333335
Central Harlem North,Saint Albans,Manhattan,Queens,1,19.07,36.61666666666667,72.63,3.80859989512323,49.91,1.3630405097860718,3.966666666666667
Central Harlem North,Soundview/Bruckner,Manhattan,Bronx,2,5.69,13.6,22.085,3.7918480886409327,26.205000000000002,1.856362306791356,3.5333333333333337
Central Harlem North,Soundview/Castle Hill,Manhattan,Bronx,2,5.83,13.766666666666666,23.025,3.9492736992935598,16.25,1.1824806201550389,4.050000000000001
Central Harlem North,Springfield Gardens North,Manhattan,Queens,1,21.9,43.56666666666667,33.89,1.547488584474886,34.21,0.7852333588370314,3.6166666666666667
Central Harlem North,Spuyten Duyvil/Kingsbridge,Manhattan,Bronx,1,6.19,12.6,10.66,1.7221324717285944,15.77,1.2515873015873016,0.7666666666666667
Central Harlem North,Stuy Town/Peter Cooper Village,Manhattan,Manhattan,1,7.71,23.583333333333332,14.14,1.833981841763943,17.99,0.7628268551236749,9.55
Central Harlem North,Stuyvesant Heights,Manhattan,Brooklyn,1,12.957,40.43333333333333,53.23,4.108204059581693,41.34,1.02242374278648,
Central Harlem North,Sutton Place/Turtle Bay North,Manhattan,Manhattan,1,5.73,22.716666666666665,30.6,5.340314136125654,21.11,0.9292736610418195,
Central Harlem North,Times Sq/Theatre District,Manhattan,Manhattan,2,6.524,19.233333333333334,27.64,4.181065762950945,20.450000000000003,1.0650536158688333,5.574999999999999
Central Harlem North,Two Bridges/Seward Park,Manhattan,Manhattan,2,10.002500000000001,27.1,33.08,3.3188581477467674,27.685000000000002,1.0207567892408278,10.716666666666667
Central Harlem North,UN/Turtle Bay South,Manhattan,Manhattan,1,6.297,13.5,22.39,3.5556614260759094,18.99,1.4066666666666665,
Central Harlem North,Union Sq,Manhattan,Manhattan,1,7.2,24.3,21.9,3.0416666666666665,24.24,0.9975308641975308,5.5
Central Harlem North,University Heights/Morris Heights,Manhattan,Bronx,2,3.414,16.608333333333334,17.424999999999997,5.304019243607232,14.905,0.89381072977025,1.1666666666666667
Central Harlem North,Upper East Side North,Manhattan,Manhattan,1,3.367,12.766666666666667,19.07,5.663795663795664,12.07,0.9454308093994778,
Central Harlem North,Upper East Side South,Manhattan,Manhattan,1,5.12,18.033333333333335,19.22,3.7539062499999996,21.49,1.1916820702402955,3.2333333333333334
Central Harlem North,Upper West Side North,Manhattan,Manhattan,3,3.24,21.688888888888886,18.843333333333334,5.809601190572436,14.186666666666667,0.6372944786559436,6.583333333333334
Central Harlem North,Upper West Side South,Manhattan,Manhattan,4,4.1375,18.2125,26.4325,6.581518242122457,18.1,1.002591545600603,3.9208333333333334
Central Harlem North,Van Cortlandt Park,Manhattan,Bronx,1,8.32,23.8,21.46,2.579326923076923,28.2,1.184873949579832,13.683333333333334
Central Harlem North,Van Cortlandt Village,Manhattan,Bronx,5,5.5916,28.113333333333333,24.616,4.429873944818184,24.464,0.8886495170412904,4.120833333333334
Central Harlem North,Van Nest/Morris Park,Manhattan,Bronx,3,10.546666666666665,27.51111111111111,26.21666666666667,2.830687733590145,26.349999999999998,0.973240070718875,9.155555555555555
Central Harlem North,Washington Heights North,Manhattan,Manhattan,7,3.0427142857142857,13.15,16.83142857142857,5.718682886575801,13.498571428571427,1.033543533457008,5.0
Central Harlem North,Washington Heights South,Manhattan,Manhattan,19,2.370263157894737,13.101754385964913,14.438421052631577,6.609590301450055,11.506842105263157,0.9217838063839989,3.165625
Central Harlem North,West Chelsea/Hudson Yards,Manhattan,Manhattan,2,6.842499999999999,27.275,34.305,5.015280202910159,25.740000000000002,0.9437149475828674,6.191666666666666
Central Harlem North,West Concourse,Manhattan,Bronx,15,1.7572,9.355555555555556,12.997333333333334,7.976498872514622,8.870666666666667,0.9794628401279849,4.120238095238095
