pickup_zone,hour,order_count,avg_response_time_min,p50_response_time_min,p90_response_time_min,slow_response_rate
East Williamsburg,10,13,2.4833333333333334,1.8666666666666667,3.7266666666666666,0.0
East Williamsburg,11,8,2.4604166666666667,1.6083333333333334,4.71,0.0
East Williamsburg,12,7,2.107142857142857,2.05,2.9666666666666672,0.0
East Williamsburg,13,8,4.302083333333333,3.825,7.8133333333333335,0.0
East Williamsburg,14,13,3.0025641025641026,2.8666666666666667,3.966666666666667,0.0
East Williamsburg,15,18,2.7935185185185185,1.9,4.776666666666667,0.05555555555555555
East Williamsburg,16,13,3.6538461538461537,3.283333333333333,5.04,0.0
East Williamsburg,17,15,2.881111111111111,2.4,5.02,0.0
East Williamsburg,18,19,2.5982456140350876,2.183333333333333,4.613333333333333,0.0
East Williamsburg,19,16,4.382291666666666,2.658333333333333,8.025,0.0625
East Williamsburg,20,19,1.7771929824561403,1.6666666666666667,2.9633333333333325,0.0
East Williamsburg,21,12,2.5305555555555554,2.1666666666666665,4.280000000000001,0.0
East Williamsburg,22,29,3.8660919540229886,3.35,7.913333333333333,0.034482758620689655
East Williamsburg,23,20,2.913333333333333,3.0083333333333333,4.448333333333335,0.0
Eastchester,0,3,4.25,3.4166666666666665,7.083333333333333,0.0
Eastchester,1,4,4.804166666666667,4.975,5.7700000000000005,0.0
Eastchester,4,1,6.35,6.35,6.35,0.0
Eastchester,5,5,3.416666666666667,2.5,5.286666666666667,0.0
Eastchester,6,6,3.852777777777778,2.5,7.591666666666667,0.0
Eastchester,7,8,8.4625,7.466666666666667,14.428333333333333,0.375
Eastchester,8,10,4.958333333333333,4.683333333333334,7.586666666666666,0.0
Eastchester,9,4,6.458333333333334,6.933333333333334,11.593333333333334,0.5
Eastchester,10,2,5.1,5.1,6.766666666666667,0.0
Eastchester,11,9,3.3277777777777775,3.1333333333333333,5.2,0.0
Eastchester,12,7,3.5,2.933333333333333,5.723333333333335,0.0
Eastchester,13,5,4.21,2.816666666666667,7.206666666666667,0.0
Eastchester,14,6,4.969444444444444,4.908333333333333,7.091666666666667,0.0
Eastchester,15,3,2.5611111111111113,2.5,3.1,0.0
Eastchester,16,7,3.1023809523809525,3.216666666666667,4.423333333333334,0.0
Eastchester,17,8,4.597916666666666,4.216666666666667,8.04,0.0
