pickup_zone,pickup_borough,pickup_order_count,avg_fare_per_mile,avg_driver_pay_per_minute,avg_response_time_min,dropoff_zone,dropoff_borough,dropoff_order_count
Morrisania/Melrose,Bronx,182.0,6.987741786500545,0.931400063076564,3.848407643312102,Morrisania/Melrose,Bronx,184
Mott Haven/Port Morris,Bronx,318.0,7.736182327869083,1.0327792977992627,3.894763729246488,Mott Haven/Port Morris,Bronx,319
Mount Hope,Bronx,222.0,6.827541995541101,0.9878598718239058,3.821631205673759,Mount Hope,Bronx,220
Murray Hill,Manhattan,485.0,9.42817250799787,1.041900149735657,3.239807162534435,Murray Hill,Manhattan,458
Murray Hill-Queens,Queens,106.0,6.114773358364693,1.0215842314689938,3.6544715447154474,Murray Hill-Queens,Queens,103
New Dorp/Midland Beach,Staten Island,39.0,5.140029495550255,1.0932343432919565,6.0765625,New Dorp/Midland Beach,Staten Island,29
,,,,,,Newark Airport,EWR,352
North Corona,Queens,107.0,6.062644758770528,0.9941476462674323,3.7026217228464424,North Corona,Queens,106
Norwood,Bronx,213.0,5.812844046465496,1.0372727128287844,3.9485739750445634,Norwood,Bronx,192
Oakland Gardens,Queens,36.0,4.253359883729143,1.1966199761276266,4.38641975308642,Oakland Gardens,Queens,36
Oakwood,Staten Island,21.0,5.743849719834922,1.2442149440258572,6.254761904761905,Oakwood,Staten Island,18
Ocean Hill,Brooklyn,206.0,7.221762874163822,0.9863831890993748,4.201515151515151,Ocean Hill,Brooklyn,224
Ocean Parkway South,Brooklyn,58.0,7.549818638491399,0.8969010248768969,3.3962499999999998,Ocean Parkway South,Brooklyn,54
Old Astoria,Queens,182.0,6.648650334308237,0.9907564526464651,3.4184397163120566,Old Astoria,Queens,167
Outside of NYC,,1.0,3.62,1.601669449081803,8.116666666666667,Outside of NYC,,2113
Ozone Park,Queens,65.0,5.871535073940623,0.9963071348783901,4.040064102564103,Ozone Park,Queens,77
Park Slope,Brooklyn,472.0,7.2062408362129515,0.9781611577416685,3.336183574879227,Park Slope,Brooklyn,495
Parkchester,Bronx,108.0,5.959315924712038,0.9944002882084552,3.7581521739130435,Parkchester,Bronx,82
Pelham Bay,Bronx,66.0,4.8605517912440765,1.0682418756853163,4.007738095238095,Pelham Bay,Bronx,53
Pelham Bay Park,Bronx,13.0,4.782050927592834,1.0493168860858728,6.8125,Pelham Bay Park,Bronx,11
Pelham Parkway,Bronx,167.0,6.202603271197115,1.0164805715301346,3.8409313725490195,Pelham Parkway,Bronx,168
Penn Station/Madison Sq West,Manhattan,344.0,10.656016866425041,1.068463691125665,3.3784644194756552,Penn Station/Madison Sq West,Manhattan,394
Port Richmond,Staten Island,40.0,5.832251904461691,1.0345251661033692,6.301010101010101,Port Richmond,Staten Island,25
Prospect Heights,Brooklyn,189.0,7.050482512172055,0.9346444493907444,3.639130434782609,Prospect Heights,Brooklyn,199
Prospect Park,Brooklyn,20.0,7.343937879461743,0.9505357977842227,5.1761904761904765,Prospect Park,Brooklyn,29
Prospect-Lefferts Gardens,Brooklyn,350.0,7.367499479901757,0.9186791598093883,4.423501199040768,Prospect-Lefferts Gardens,Brooklyn,386
Queens Village,Queens,135.0,6.491674482239722,1.197120550658298,4.308550724637681,Queens Village,Queens,122
Queensboro Hill,Queens,70.0,5.298595890412528,1.0476429604270632,3.758888888888889,Queensboro Hill,Queens,67
Queensbridge/Ravenswood,Queens,88.0,6.956486459900239,0.9385965655268578,3.674,Queensbridge/Ravenswood,Queens,79
Randalls Island,Manhattan,8.0,4.07606171812693,1.9900438246605023,9.522916666666667,Randalls Island,Manhattan,16
Red Hook,Brooklyn,95.0,5.961425751750543,1.033241276002467,5.211111111111111,Red Hook,Brooklyn,108
Rego Park,Queens,121.0,6.049622782204902,0.9565024166821858,3.9928315412186377,Rego Park,Queens,123
Richmond Hill,Queens,202.0,6.266966905655144,0.9785021394393519,3.6276371308016877,Richmond Hill,Queens,221
Ridgewood,Queens,340.0,7.252423985858262,0.973207381142045,3.932769423558897,Ridgewood,Queens,340
Riverdale/North Riverdale/Fieldston,Bronx,106.0,5.566123881269654,1.1459691431746435,4.486458333333333,Riverdale/North Riverdale/Fieldston,Bronx,108
Rockaway Park,Queens,30.0,5.088760391333761,1.1582953092368,6.502666666666666,Rockaway Park,Queens,34
Roosevelt Island,Manhattan,41.0,5.469909740001916,0.9636792978642241,6.321875,Roosevelt Island,Manhattan,27
Rosedale,Queens,96.0,5.906279498527847,1.1134388285165848,5.595625,Rosedale,Queens,74
Rossville/Woodrow,Staten Island,14.0,5.497685418208347,1.3321154488438507,4.434848484848485,Rossville/Woodrow,Staten Island,14
Saint Albans,Queens,236.0,6.150525894090256,0.9950375466436175,4.561441441441442,Saint Albans,Queens,181
Saint George/New Brighton,Staten Island,95.0,6.315997895683244,1.084558622587402,5.3975225225225225,Saint George/New Brighton,Staten Island,107
Saint Michaels Cemetery/Woodside,Queens,4.0,5.928468026005657,0.9916364787529729,3.961111111111111,Saint Michaels Cemetery/Woodside,Queens,12
Schuylerville/Edgewater Park,Bronx,145.0,5.181594853016296,1.0661313374493393,4.1069892473118275,Schuylerville/Edgewater Park,Bronx,145
Seaport,Manhattan,99.0,8.542368767471666,1.0893232931080727,3.9613526570048307,Seaport,Manhattan,96
Sheepshead Bay,Brooklyn,157.0,6.813819362587236,1.026405701270978,3.8330708661417323,Sheepshead Bay,Brooklyn,123
SoHo,Manhattan,292.0,11.527733221782892,1.0875938517072905,2.700997150997151,SoHo,Manhattan,252
Soundview/Bruckner,Bronx,136.0,6.17746324951416,1.0443952078615484,4.214367816091954,Soundview/Bruckner,Bronx,144
Soundview/Castle Hill,Bronx,266.0,7.193756633984323,1.0595099860345343,4.101689708141321,Soundview/Castle Hill,Bronx,235
South Beach/Dongan Hills,Staten Island,52.0,5.387354928692345,1.0901928672536494,5.420921985815602,South Beach/Dongan Hills,Staten Island,45
South Jamaica,Queens,140.0,6.5908452645867115,0.9699653146541741,3.6121069182389935,South Jamaica,Queens,134
South Ozone Park,Queens,330.0,6.383836612723508,1.0655366029409554,3.5255555555555556,South Ozone Park,Queens,262
South Williamsburg,Brooklyn,99.0,11.171680158481811,0.921534093624348,4.824358974358974,South Williamsburg,Brooklyn,89
Springfield Gardens North,Queens,103.0,5.823369889764657,1.0256727702781079,4.825098039215686,Springfield Gardens North,Queens,94
Springfield Gardens South,Queens,93.0,5.734062602001852,1.011610087320069,4.085999999999999,Springfield Gardens South,Queens,76
Spuyten Duyvil/Kingsbridge,Bronx,179.0,6.000742276826392,1.0550387472341174,3.701463963963964,Spuyten Duyvil/Kingsbridge,Bronx,167
Stapleton,Staten Island,45.0,7.007762371786149,1.1014700727544344,5.300416666666667,Stapleton,Staten Island,56
Starrett City,Brooklyn,61.0,5.725327575122693,1.0317884588206123,4.2687074829931975,Starrett City,Brooklyn,44
Steinway,Queens,258.0,6.38206151964355,1.0130559214643564,3.0126102292768957,Steinway,Queens,254
Stuy Town/Peter Cooper Village,Manhattan,122.0,8.232304538592231,1.0385095638547328,4.157364341085271,Stuy Town/Peter Cooper Village,Manhattan,77
Stuyvesant Heights,Brooklyn,439.0,7.592922919505446,0.9459910865886509,3.937945492662474,Stuyvesant Heights,Brooklyn,416
Sunnyside,Queens,309.0,6.6235365295558735,0.9643416230072757,3.575880758807588,Sunnyside,Queens,289
Sunset Park East,Brooklyn,131.0,6.7876490303081125,1.0064469209583258,4.457852564102565,Sunset Park East,Brooklyn,143
Sunset Park West,Brooklyn,248.0,6.542353306115472,0.975942591148057,4.27098138747885,Sunset Park West,Brooklyn,258
Sutton Place/Turtle Bay North,Manhattan,275.0,9.56132291749893,1.0461856783130212,3.155582922824302,Sutton Place/Turtle Bay North,Manhattan,215
Times Sq/Theatre District,Manhattan,584.0,11.158395319346077,1.1249982460664074,4.024946695095949,Times Sq/Theatre District,Manhattan,458
TriBeCa/Civic Center,Manhattan,545.0,10.12546461543712,1.1275016722437357,2.7438862928348913,TriBeCa/Civic Center,Manhattan,427
Two Bridges/Seward Park,Manhattan,242.0,7.575163523943531,0.9948734601570265,4.742655367231639,Two Bridges/Seward Park,Manhattan,172
UN/Turtle Bay South,Manhattan,280.0,9.372394110758709,1.0007994326302057,3.3032852564102564,UN/Turtle Bay South,Manhattan,239
Union Sq,Manhattan,506.0,10.469354859207868,1.072428814108731,3.2660685805422647,Union Sq,Manhattan,460
University Heights/Morris Heights,Bronx,231.0,7.074839253203509,1.055776676023646,4.114068100358423,University Heights/Morris Heights,Bronx,199
Upper East Side North,Manhattan,379.0,9.463144457818387,1.0772961088080009,3.007426303854875,Upper East Side North,Manhattan,350
Upper East Side South,Manhattan,399.0,11.037558512574138,1.0964018017690549,2.9810838445807772,Upper East Side South,Manhattan,378
